user_id,movie_id,rating,timestamp,title,user_encoded,movie_encoded
807,1411,1,893082619,Barbarella (1968),804,901
474,659,5,887925187,Arsenic and Old Lace (1944),467,488
463,268,4,877384940,Chasing Amy (1997),465,139
139,286,4,879537844,"English Patient, The (1996)",321,289
621,751,4,883799651,Tomorrow Never Dies (1997),618,261
264,137,3,886122892,Big Night (1996),93,148
262,219,3,879794206,"Nightmare on Elm Street, A (1984)",96,61
7,300,4,891350703,Air Force One (1997),38,652
653,393,2,880152426,Mrs. Doubtfire (1993),649,528
235,198,3,889655044,Nikita (La Femme Nikita) (1990),195,235
338,189,4,879438449,"Grand Day Out, A (1992)",332,236
592,307,4,882607528,"Devil's Advocate, The (1997)",584,104
405,1478,1,885546636,Dead Presidents (1995),402,1068
394,176,5,881130008,Aliens (1986),390,311
325,1411,4,891478981,Barbarella (1968),308,901
74,272,5,888333194,Good Will Hunting (1997),297,130
727,474,3,883710910,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),720,5
457,458,3,882393765,Nixon (1995),453,1076
880,793,4,880174677,Crooklyn (1994),875,785
573,492,4,885843964,East of Eden (1955),563,454
178,11,5,882826162,Seven (Se7en) (1995),47,229
405,994,1,885549746,"Last Time I Committed Suicide, The (1997)",402,1302
299,474,5,877880474,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),22,5
919,815,2,875289533,One Fine Day (1996),912,124
218,1073,5,881288265,Shallow Grave (1994),149,808
15,111,4,879455914,"Truth About Cats & Dogs, The (1996)",120,83
749,238,3,878847863,Raising Arizona (1987),742,329
610,275,4,888703453,Sense and Sensibility (1995),605,89
343,135,5,876404568,2001: A Space Odyssey (1968),339,118
478,137,4,889398260,Big Night (1996),471,148
870,1267,2,879270213,Clockers (1995),867,164
938,151,4,891356679,Willy Wonka and the Chocolate Factory (1971),930,103
2,300,4,888979197,Air Force One (1997),229,652
932,514,5,891249932,Annie Hall (1977),925,108
191,332,2,891562090,Kiss the Girls (1997),170,48
680,25,4,876816310,"Birdcage, The (1996)",691,86
689,151,3,876676501,Willy Wonka and the Chocolate Factory (1971),683,103
767,187,4,891462658,"Godfather: Part II, The (1974)",760,359
262,278,3,879790741,Bed of Roses (1996),96,348
241,310,4,887249576,"Rainmaker, The (1997)",66,511
363,370,3,891500269,Mary Reilly (1996),353,381
692,476,3,876953279,"First Wives Club, The (1996)",681,173
6,498,4,883601053,"African Queen, The (1951)",9,91
215,134,4,891435266,Citizen Kane (1941),165,260
58,50,4,884304328,Star Wars (1977),88,357
580,222,3,884125292,Star Trek: First Contact (1996),585,12
181,1296,1,878962006,Indian Summer (1996),35,1243
454,492,3,888266643,East of Eden (1955),447,454
643,674,3,891449901,Cat People (1982),637,655
693,218,4,875483473,Cape Fear (1991),685,211
838,72,4,887067162,"Mask, The (1994)",829,549
99,409,2,885679411,Jack (1996),46,434
488,200,2,891294606,"Shining, The (1980)",492,113
7,268,3,891350703,Chasing Amy (1997),38,139
697,1067,5,882622170,Bottle Rocket (1996),687,266
772,315,5,889028363,Apt Pupil (1998),767,325
42,409,3,881106270,Jack (1996),55,434
561,217,3,885810858,Bram Stoker's Dracula (1992),556,338
247,1022,4,893097024,"Fast, Cheap & Out of Control (1997)",294,466
108,471,2,879880076,Courage Under Fire (1996),240,120
487,282,4,883442105,"Time to Kill, A (1996)",479,647
568,494,4,877907835,His Girl Friday (1940),578,729
178,1016,4,882824253,Con Air (1997),47,87
308,193,3,887737837,"Right Stuff, The (1983)",23,32
397,178,5,885349759,12 Angry Men (1957),393,185
158,510,3,880134296,"Magnificent Seven, The (1954)",151,618
806,47,4,882387563,Ed Wood (1994),803,337
712,232,3,874956903,Young Guns (1988),705,65
693,210,3,875484044,Indiana Jones and the Last Crusade (1989),685,347
610,606,5,888703343,All About Eve (1950),605,884
604,443,3,883668352,"Birds, The (1963)",619,154
470,221,4,879178370,Breaking the Waves (1996),473,595
584,114,4,885778238,Wallace & Gromit: The Best of Aardman Animation (1996),575,612
312,1172,5,891699538,"Women, The (1939)",254,1051
820,264,3,887955180,Mimic (1997),858,116
455,508,4,882141385,"People vs. Larry Flynt, The (1996)",450,242
316,323,1,880853152,Dante's Peak (1997),283,144
868,726,2,877109926,Fluke (1995),864,1269
152,944,4,882476632,Renaissance Man (1994),207,192
450,612,4,882396564,Lost Horizon (1937),442,300
809,333,3,891036903,"Game, The (1997)",807,280
320,233,4,884749281,Under Siege (1992),309,504
896,225,1,887161518,101 Dalmatians (1996),893,443
379,621,4,880525815,"Davy Crockett, King of the Wild Frontier (1955)",374,964
486,883,3,879874388,Telling Lies in America (1997),478,838
561,234,3,885808824,Jaws (1975),556,29
235,483,5,889655204,Casablanca (1942),195,174
393,154,2,887746302,Monty Python's Life of Brian (1979),387,88
637,408,5,882901355,"Close Shave, A (1995)",634,180
254,15,3,886471307,Mr. Holland's Opus (1995),67,68
869,282,3,884490987,"Time to Kill, A (1996)",877,647
427,680,5,879701326,Kull the Conqueror (1997),423,391
264,1009,4,886124417,Stealing Beauty (1996),93,977
918,433,2,891987082,Heathers (1989),911,479
158,229,3,880134532,Star Trek III: The Search for Spock (1984),151,76
766,435,3,891309053,Butch Cassidy and the Sundance Kid (1969),768,622
287,941,3,875335424,With Honors (1994),42,396
917,248,4,882912385,Grosse Pointe Blank (1997),924,73
276,943,4,883822485,Killing Zoe (1994),37,386
387,52,5,886483497,"Madness of King George, The (1994)",379,473
450,616,4,882373597,Night of the Living Dead (1968),442,583
268,151,3,875742470,Willy Wonka and the Chocolate Factory (1971),110,103
357,841,3,878951918,"Glimmer Man, The (1996)",356,911
334,347,3,891547445,Wag the Dog (1997),325,184
425,27,3,878738695,Bad Boys (1995),417,589
845,896,3,885409374,"Sweet Hereafter, The (1997)",853,1120
943,318,3,888639093,Schindler's List (1993),937,200
554,276,3,876548886,Leaving Las Vegas (1995),551,695
293,507,4,888905665,"Streetcar Named Desire, A (1951)",68,225
292,56,5,881105373,Pulp Fiction (1994),56,216
608,655,5,880405395,Stand by Me (1986),603,431
254,649,1,886474619,Once Upon a Time in America (1984),67,271
881,521,4,876537870,"Deer Hunter, The (1978)",878,888
406,482,5,879446588,Some Like It Hot (1959),404,694
691,79,5,875543025,"Fugitive, The (1993)",679,156
60,207,3,883327342,Cyrano de Bergerac (1990),60,690
881,88,3,876538595,Sleepless in Seattle (1993),878,33
332,684,5,888360370,In the Line of Fire (1993),318,801
568,1203,5,877907281,Top Hat (1935),578,1072
70,161,3,884067638,Top Gun (1986),136,456
7,391,3,892132943,Last Action Hero (1993),38,978
487,820,3,883444884,Space Jam (1996),479,464
632,679,4,879459321,Conan the Barbarian (1981),628,54
916,195,3,880844920,"Terminator, The (1984)",907,112
886,1217,4,876033602,Assassins (1995),883,162
664,732,3,876525315,Dave (1993),658,366
234,40,2,892335894,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",19,13
144,194,5,888105287,"Sting, The (1973)",169,34
933,168,3,874853869,Monty Python and the Holy Grail (1974),928,367
606,138,3,880927923,D3: The Mighty Ducks (1996),602,598
560,321,3,879975151,Mother (1996),555,251
303,514,5,879466667,Annie Hall (1977),15,108
314,1152,4,877887469,In Love and War (1996),264,1106
500,133,3,883875681,Gone with the Wind (1939),496,220
433,474,3,880585759,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),429,5
634,274,3,876170992,Sabrina (1995),630,17
825,508,4,880756725,"People vs. Larry Flynt, The (1996)",815,242
407,519,4,875042466,"Treasure of the Sierra Madre, The (1948)",405,982
897,465,5,879992030,"Jungle Book, The (1994)",894,7
716,95,4,879794775,Aladdin (1992),708,26
524,520,3,884637314,"Great Escape, The (1963)",516,230
36,873,3,882157386,Picture Perfect (1997),135,376
720,872,3,891262780,Love Jones (1997),723,223
536,195,4,882359431,"Terminator, The (1984)",532,112
452,603,4,887718667,Rear Window (1954),446,36
21,551,3,874951898,Lord of Illusions (1995),175,1086
324,273,5,880575449,Heat (1995),327,141
381,225,3,892697495,101 Dalmatians (1996),376,443
650,72,2,891386755,"Mask, The (1994)",646,549
181,146,1,878962955,Unhook the Stars (1996),35,224
38,400,1,892434036,"Little Rascals, The (1994)",25,1348
689,471,4,876676433,Courage Under Fire (1996),683,120
169,483,3,891359200,Casablanca (1942),331,174
91,616,4,891439439,Night of the Living Dead (1968),132,583
1,83,3,875072370,Much Ado About Nothing (1993),118,693
160,640,3,876860808,"Cook the Thief His Wife & Her Lover, The (1989)",28,294
299,1141,4,877880522,"War Room, The (1993)",22,1065
357,473,3,878951831,James and the Giant Peach (1996),356,781
206,332,3,888179602,Kiss the Girls (1997),262,48
802,196,3,875985239,Dead Poets Society (1989),795,53
640,214,5,874778274,Pink Floyd - The Wall (1982),635,195
160,135,4,876860807,2001: A Space Odyssey (1968),28,118
588,208,3,890023879,Young Frankenstein (1974),576,96
177,1110,3,880131123,Tank Girl (1995),173,352
42,451,2,881108982,Grease (1978),55,8
201,656,4,884111775,M (1931),41,1047
815,65,5,878694664,What's Eating Gilbert Grape (1993),808,203
59,125,3,888203658,Phenomenon (1996),52,552
849,406,4,879695125,Thinner (1996),846,370
716,180,3,879794815,Apocalypse Now (1979),708,571
314,763,5,877886706,Happy Gilmore (1996),264,614
222,732,4,878183425,Dave (1993),70,366
145,106,4,875270655,Diabolique (1996),76,190
868,662,2,877103714,Somewhere in Time (1980),864,264
425,318,2,878737841,Schindler's List (1993),417,200
